date,asset,price
2024-03-31,STOCK,116.4111737785712
2024-04-01,STOCK,118.09329425739301
2024-04-02,STOCK,117.44021852906639
2024-04-03,STOCK,116.0539233547779
2024-04-04,STOCK,115.27839198939695
2024-04-05,STOCK,112.87862666486396
2024-04-06,STOCK,113.83556067479282
2024-04-07,STOCK,113.59465357015998
2024-04-08,STOCK,114.77128261826392
2024-04-09,STOCK,113.8849326735729
2024-04-10,STOCK,113.89381759197323
2024-04-11,STOCK,114.32199889362383
2024-04-12,STOCK,115.2738985294294
2024-04-13,STOCK,116.17964394487556
2024-04-14,STOCK,115.63211929238892
2024-04-15,STOCK,115.82499847381136
2024-04-16,STOCK,115.84106237749978
2024-04-17,STOCK,116.92606214984082
2024-04-18,STOCK,115.58012843938876
2024-04-19,STOCK,115.44420037100627
2024-04-20,STOCK,116.0526818084479
2024-04-21,STOCK,115.36342491810024
2024-04-22,STOCK,114.61704184729622
2024-04-23,STOCK,114.94247563690422
2024-04-24,STOCK,114.19838710168251
2024-04-25,STOCK,114.56440485211334
2024-04-26,STOCK,114.93361630585588
2024-04-27,STOCK,115.09921472989907
2024-04-28,STOCK,116.08486717735212
2024-04-29,STOCK,115.70507398458817
2024-04-30,STOCK,117.53784623077523
2024-05-01,STOCK,117.60814699613658
2024-05-02,STOCK,117.09186133730644
2024-05-03,STOCK,117.41711530836179
2024-05-04,STOCK,117.30541704999311
2024-05-05,STOCK,116.20035218119074
2024-05-06,STOCK,116.74918532132429
2024-05-07,STOCK,117.19149462009713
2024-05-08,STOCK,117.66511164199434
2024-05-09,STOCK,116.70225321829764
2024-05-10,STOCK,116.53039172566741
2024-05-11,STOCK,114.77612154697619
2024-05-12,STOCK,114.81869375447454
2024-05-13,STOCK,113.53704858929588
2024-05-14,STOCK,113.43202227742125
2024-05-15,STOCK,113.90638216094764
2024-05-16,STOCK,111.51981990733245
2024-05-17,STOCK,110.95369720798153
2024-05-18,STOCK,110.32197904561527
2024-05-19,STOCK,110.11376255348335
2024-05-20,STOCK,109.87155505425225
2024-05-21,STOCK,109.12004607325201
2024-05-22,STOCK,111.91743060174991
2024-05-23,STOCK,111.84491274831265
2024-05-24,STOCK,112.73444060012864
2024-05-25,STOCK,112.0895188396879
2024-05-26,STOCK,113.0080468636171
2024-05-27,STOCK,113.49636854914945
2024-05-28,STOCK,113.48447500608242
2024-05-29,STOCK,112.93520266644384
2024-05-30,STOCK,111.40177510564529
2024-05-31,STOCK,111.96726594644966
2024-06-01,STOCK,112.38774733161534
2024-06-02,STOCK,113.30091192452763
2024-06-03,STOCK,112.59330023277275
2024-06-04,STOCK,112.70361115257914
2024-06-05,STOCK,112.5121963194262
2024-06-06,STOCK,112.19667295487722
2024-06-07,STOCK,111.879423971053
2024-06-08,STOCK,111.19910776436232
2024-06-09,STOCK,110.36596027662664
2024-06-10,STOCK,113.01278903494939
2024-06-11,STOCK,111.88655504574687
2024-06-12,STOCK,112.9754023471559
2024-06-13,STOCK,111.51856178693748
2024-06-14,STOCK,109.8123246717898
2024-06-15,STOCK,108.50240106322327
2024-06-16,STOCK,107.5408889753731
2024-06-17,STOCK,107.02484769979355
2024-06-18,STOCK,107.64642783810415
2024-06-19,STOCK,107.49869944141616
2024-06-20,STOCK,108.00746212282937
2024-06-21,STOCK,109.79733911058057
2024-06-22,STOCK,110.33640661053163
2024-06-23,STOCK,108.51181944691655
2024-06-24,STOCK,109.05993021335152
2024-06-25,STOCK,109.05225611863715
2024-06-26,STOCK,108.92698803757779
2024-06-27,STOCK,111.55937694799907
2024-06-28,STOCK,112.61046917014676
2024-06-29,STOCK,112.42975162171811
2024-06-30,STOCK,111.91383479320015
2024-07-01,STOCK,111.61815684981647
2024-07-02,STOCK,112.40288229198106
2024-07-03,STOCK,113.21696010293662
2024-07-04,STOCK,113.22528779260294
2024-07-05,STOCK,113.92710466153292
2024-07-06,STOCK,114.44308324793234
2024-07-07,STOCK,114.25221905821815
2024-07-08,STOCK,116.4915668014265
2024-07-09,STOCK,117.27116512742143
2024-07-10,STOCK,118.7695961697822
2024-07-11,STOCK,120.47059426234316
2024-07-12,STOCK,119.78418722017445
2024-07-13,STOCK,119.03804490254039
2024-07-14,STOCK,118.92323112353722
2024-07-15,STOCK,119.96123532755661
2024-07-16,STOCK,121.01332300419186
2024-07-17,STOCK,120.47077433152585
2024-07-18,STOCK,120.4275907096138
