date,asset,price
2024-06-01,GOLD,1990.3571784902613
2024-06-02,GOLD,1990.2867769566694
2024-06-03,GOLD,1989.1775585252321
2024-06-04,GOLD,1989.425625400318
2024-06-05,GOLD,1989.0737716748358
2024-06-06,GOLD,1989.989833365156
2024-06-07,GOLD,1990.2838898846915
2024-06-08,GOLD,1990.7730510900344
2024-06-09,GOLD,1990.1514463052151
2024-06-10,GOLD,1991.8691009129068
2024-06-11,GOLD,1990.8730122812135
2024-06-12,GOLD,1991.7216560518314
2024-06-13,GOLD,1989.4054301124356
2024-06-14,GOLD,1989.8984676731768
2024-06-15,GOLD,1990.175230611943
2024-06-16,GOLD,1988.8711431177137
2024-06-17,GOLD,1988.7985396742447
2024-06-18,GOLD,1989.1330730025775
2024-06-19,GOLD,1988.862519439338
2024-06-20,GOLD,1988.5990203711003
2024-06-21,GOLD,1987.1842471464224
2024-06-22,GOLD,1985.4565078101614
2024-06-23,GOLD,1986.7035980959222
2024-06-24,GOLD,1985.8545822335573
2024-06-25,GOLD,1986.0864440664523
2024-06-26,GOLD,1985.5407016508643
2024-06-27,GOLD,1986.0618052444506
2024-06-28,GOLD,1986.343814851027
2024-06-29,GOLD,1988.1197112924397
2024-06-30,GOLD,1988.6623622148313
2024-07-01,GOLD,1988.7647943236825
2024-07-02,GOLD,1989.5594159235593
2024-07-03,GOLD,1989.8735731453007
2024-07-04,GOLD,1990.063542192034
2024-07-05,GOLD,1990.4092899360528
2024-07-06,GOLD,1988.2861061297074
2024-07-07,GOLD,1988.541667252672
2024-07-08,GOLD,1989.5563742586241
2024-07-09,GOLD,1990.093759405716
2024-07-10,GOLD,1989.5297556514545
2024-07-11,GOLD,1990.0593953761634
2024-07-12,GOLD,1988.3078852783915
2024-07-13,GOLD,1988.4689313754332
2024-07-14,GOLD,1988.2170435546411
2024-07-15,GOLD,1988.1852426909234
2024-07-16,GOLD,1989.226764314414
2024-07-17,GOLD,1991.1008584158633
2024-07-18,GOLD,1992.0198217282252
